Date;Open;High;Low;Close;Volume
2011.12.20 00:00;1934.7;1943.4;1928.8;1933.5;1
2011.12.21 00:00;1933.0;1938.27;1932.5;1933.57;1
2011.12.22 00:00;1936.22;1936.7;1924.4;1924.63;1
2011.12.23 00:00;1923.5;1927.51;1915.65;1920.5;1
2011.12.26 00:00;1916.0;1922.5;1919.5;1921.5;1
2011.12.27 00:00;1920.0;1925.6;1916.25;1923.3;1
2011.12.28 00:00;1921.6;1947.0;1921.2;1940.2;1
2011.12.29 00:00;1939.6;1953.3;1936.75;1940.5;1
2011.12.30 00:00;1936.5;1941.0;1937.0;1938.5;1
2012.01.02 00:00;1936.5;1940.2;1932.5;1932.5;1
2012.01.03 00:00;1937.4;1938.4;1905.5;1907.89;1
2012.01.04 00:00;1906.1;1909.5;1883.55;1886.01;1
2012.01.05 00:00;1885.0;1893.6;1876.35;1880.0;1
2012.01.06 00:00;1877.9;1893.0;1876.25;1880.45;1
2012.01.09 00:00;1880.1;1884.3;1878.95;1880.5;1
2012.01.10 00:00;1876.0;1880.5;1859.77;1863.61;1
2012.01.11 00:00;1863.06;1865.38;1848.5;1850.18;1
2012.01.12 00:00;1854.0;1854.54;1835.55;1838.65;1
2012.01.13 00:00;1837.2;1848.3;1834.0;1841.55;1
2012.01.16 00:00;1841.2;1845.63;1838.0;1844.0;1
2012.01.17 00:00;1841.5;1845.13;1830.26;1837.23;1
2012.01.18 00:00;1836.0;1841.03;1820.76;1822.7;1
2012.01.19 00:00;1822.0;1827.25;1814.7;1826.16;1
2012.01.20 00:00;1825.99;1834.2;1822.15;1825.03;1
2012.01.23 00:00;1824.05;1825.03;1807.75;1814.31;1
2012.01.24 00:00;1814.12;1818.72;1809.7;1814.0;1
2012.01.25 00:00;1813.5;1818.36;1804.76;1812.7;1
2012.01.26 00:00;1811.7;1817.34;1795.94;1811.8;1
2012.01.27 00:00;1810.8;1816.29;1803.9;1808.0;1
2012.01.30 00:00;1807.07;1818.65;1806.75;1818.0;1
2012.01.31 00:00;1817.0;1818.0;1797.7;1810.0;1
2012.02.01 00:00;1809.2;1810.35;1791.15;1800.0;1
2012.02.02 00:00;1799.0;1806.1;1789.6;1793.8;1
2012.02.03 00:00;1793.84;1806.0;1779.95;1784.71;1
2012.02.06 00:00;1784.34;1797.23;1781.63;1787.1;1
2012.02.07 00:00;1786.04;1791.2;1779.29;1783.0;1
2012.02.08 00:00;1782.0;1788.1;1774.4;1779.9;1
2012.02.09 00:00;1779.42;1786.5;1770.5;1776.0;1
2012.02.10 00:00;1775.88;1790.3;1774.06;1784.5;1
2012.02.13 00:00;1783.5;1784.5;1773.5;1778.2;1
2012.02.14 00:00;1778.02;1792.0;1775.89;1791.44;1
2012.02.15 00:00;1791.04;1796.8;1786.3;1794.6;1
2012.02.16 00:00;1794.64;1804.15;1781.37;1784.5;1
2012.02.17 00:00;1783.8;1785.9;1775.65;1778.3;1
2012.02.20 00:00;1777.8;1784.5;1769.76;1772.0;1
2012.02.21 00:00;1772.04;1782.27;1770.79;1778.21;1
2012.02.22 00:00;1777.32;1785.14;1777.27;1782.63;1
2012.02.23 00:00;1782.0;1784.0;1771.51;1776.27;1
2012.02.24 00:00;1776.19;1777.7;1768.05;1776.06;1
2012.02.27 00:00;1775.12;1781.56;1772.0;1772.6;1
2012.02.28 00:00;1772.19;1772.6;1766.29;1767.19;1
2012.02.29 00:00;1766.44;1771.0;1762.25;1766.27;1
2012.03.01 00:00;1766.2;1775.5;1766.27;1768.99;1
2012.03.02 00:00;1768.97;1777.9;1768.99;1773.95;1
2012.03.05 00:00;1773.92;1778.73;1769.75;1772.0;1
2012.03.06 00:00;1771.0;1784.15;1771.65;1780.1;1
2012.03.07 00:00;1780.3;1784.05;1768.34;1768.7;1
2012.03.08 00:00;1767.7;1768.85;1760.95;1765.87;1
2012.03.09 00:00;1765.44;1766.47;1759.5;1762.49;1
2012.03.12 00:00;1762.21;1767.96;1762.49;1767.0;1
2012.03.13 00:00;1766.0;1767.0;1758.06;1758.78;1
2012.03.14 00:00;1760.0;1765.51;1757.0;1765.18;1
2012.03.15 00:00;1759.7;1763.5;1759.37;1760.53;1
2012.03.16 00:00;1760.05;1761.89;1755.5;1759.96;1
2012.03.19 00:00;1759.37;1760.19;1757.5;1757.5;1
2012.03.20 00:00;1759.0;1765.2;1756.9;1757.8;1
2012.03.21 00:00;1757.2;1763.0;1755.83;1760.1;1
2012.03.22 00:00;1759.1;1765.15;1758.49;1760.98;1
2012.03.23 00:00;1760.1;1764.0;1757.24;1760.34;1
2012.03.26 00:00;1760.0;1762.28;1757.33;1761.0;1
2012.03.27 00:00;1761.17;1765.51;1760.15;1763.8;1
2012.03.28 00:00;1763.2;1775.97;1758.74;1773.8;1
